trading_name,ticker
HSI 5xShortUB251031,HAOW.SI
PRINCIPAL S&P AP DIV US$,P5P.SI
Dasin Retail Tr,CEDU.SI
ValueMax,T6I.SI
Alibaba 5xLongSG250205,DCUW.SI
Memiontec Hldgs,TWL.SI
Livingstone R,9ZKR.SI
Livingstone R,9ZKR.SI
Lion-OSPL APAC Fin US$,YLU.SI
Sembcorp 5xLongUB250530,QFHW.SI
JD 5xLongUB250630,XBNW.SI
Anchun Intl,BTX.SI
HSI 5xLongSG240912,CYJW.SI
Goodland,5PC.SI
Acma,AYV.SI
CDW,BXE.SI
CapInv 5xLongUB250630,WG4W.SI
Wong Fong Ind,1A1.SI
Abundance Intl,541.SI
HKEx 5xLongUB250127,ITRW.SI
AsiaMedic,505.SI
OTS Holdings,OTS.SI
AdvancedSystems,WJ9.SI
A-Smart,BQC.SI
ValueMax W260914,9E9W.SI
AcroMeta,43F.SI
Serial System,S69.SI
Asiatic,5CR.SI
Hosen,5EV.SI
Ocean Sky Intl,1B6.SI
China EnvRes,UIX.SI
Spackman,40E.SI
China Mining,BHD.SI
Sinjia Land,5HH.SI
17LIVE W281207,VT2W.SI
8Telecom,AZG.SI
9RW270628,KJZW.SI
ABR,533.SI
Abundante,570.SI
Accrelist Ltd,QZG.SI
Addvalue 6%271104#^,MYLB.SI
Advanced,BLZ.SI
Advancer Global,43Q.SI
Aedge Group,XVG.SI
AEM USD,XWA.SI
AGV,1A4.SI
AIA 5xLongSG241213,DWGW.SI
AIA 5xLongSG250423,KLOW.SI
AIA 5xLongUB250430,QPCW.SI
AIA MBeCW240703,JMBW.SI
AIA MBeCW240903,ZM2W.SI
AJJ Medtech,584.SI
Alibab3xShortUB250428US$,VUQW.SI
Alibaba 5xLongSG250924,9O5W.SI
Alibaba 5xLongUB241231,WA9W.SI
Alibaba 5xLongUB250430,XBFW.SI
Alibaba 5xShortUB251127,ZWAW.SI
Alibaba AutocallSG240903,WGX.SI
Alibaba AutocallSG241003,EEJ.SI
Alibaba AutocallSG250402,5YZ.SI
Alibaba MB eCW240703,9KMW.SI
Alibaba MB eCW241203,Y5AW.SI
Alita Resources,40F.SI
Alliance HC,MIJ.SI
AlphaDX,VVL.SI
Amcorp Global,S9B.SI
AMTD IDEA OV,HKB.SI
AnnAik W241009,VAIW.SI
Annica,5AL.SI
ANTA 5xLongSG240620,DBPW.SI
ANTA 5xLongUB250430,QTTW.SI
ANTA 5xShortUB250430,OMYW.SI
Aoxin Q & M,1D4.SI
AP Strategic,5RA.SI
Ascent Bridge^,AWG.SI
Asia Enterprises,A55.SI
Asia Vets,5RE.SI
AsiaPhos R,VVQR.SI
AsiaPhos R,VVQR.SI
AsiaPhos R1,98XR.SI
AsiaPhos R1,98XR.SI
Aspial Lifestyle,5UF.SI
Astaka,42S.SI
ASTI^,575.SI
Astrea V3.85%B290620#,5A1B.SI
Astrea7B 6%320527#,V7BB.SI
AusGroup,5GJ.SI
Avi-Tech Hldg,1R6.SI
AVJennings A$,A05.SI
B&M Hldg^,CJN.SI
Baidu 5xShortSG240709,DVMW.SI
Ban Leong,B26.SI
BBR,KJ5.SI
BH Global,BQN.SI
BIDU ADR US$+,K3SD.SI
BlackGoldNatural,41H.SI
Boldtek,5VI.SI
Brook Crompton,AWC.SI
BYD 5xLongSG250904,DKOW.SI
BYD 5xLongSG251216,VLSW.SI
BYD 5xLongUB241231,QFYW.SI
BYD 5xLongUB250321,FOFW.SI
BYD 5xLongUB250430,NUIW.SI
BYD 5xLongUB250930,EPVW.SI
